id,code,name,info,classification,category,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_website,contacts_phone,contacts_email,created_at,updated_at
1,dove_dormire,"AGRITURISMO IL VALLONE",,"3 Girasoli",Agriturismo,"VIA EMILIA EST 24, FONDO IL VALLONE",,Alseno,"Castelnuovo Fogliani",Piacenza,Emilia,,44.882,10.0059,http://www.agriturismoilvallone.it/,"0523 949446",info@agriturismoilvallone.it,"2022-04-07 00:40:03","2022-06-30 00:40:03"
2,dove_dormire,"AGRITURISMO LA RONDANINA",,"Non definito",Agriturismo,"Via Sandrone, 231  - Loc. La Rondanina",,Alseno,"Castelnuovo Fogliani",Piacenza,Emilia,,44.8734,9.9677,http://www.larondanina.it,"0523 947541",info@larondanina.it,"2020-07-06 00:40:03","2022-06-30 00:40:03"
3,dove_dormire,"B&B VILLA BELLARIA",,"Bed & Breakfast","Bed & Breakfast","Strada di Fellegara 380",,Alseno,Cortina,Piacenza,Emilia,,44.865,9.9255,https://www.villabellariabb.it/,"0523 947537",info@villabellariabb.it,"2022-06-09 00:40:03","2022-06-30 00:40:03"
4,dove_dormire,"HOTEL BOSCHI",,"3 Stelle",Albergo,"Frazione Cortina, 59",,Alseno,Cortina,Piacenza,Emilia,,44.872,9.9227,,"0523 948472",giuseppe.boschi@alice.it,"2022-04-01 00:40:03","2022-06-30 00:40:03"
5,dove_dormire,"LOCANDA LA FIASCHETTERIA",,"Non definito",Affittacamere,"VIA BERSANO 59/BIS",,Besenzone,Bersano,Piacenza,Emilia,,44.9836,10.0105,http://www.la-fiaschetteria.it/,"0523 830444",info@la-fiaschetteria.it,"2021-02-05 00:40:03","2022-06-30 00:40:03"
6,dove_dormire,"AGRITURISMO LE COLOMBAIE",,"Non definito",Agriturismo,"VIA BERSANO 30",,Besenzone,Bersano,Piacenza,Emilia,,44.9766,10.0141,https://www.lecolombaie.net/,"0523 830279",info@lecolombaie.net,"2022-05-25 00:40:03","2022-06-30 00:40:03"
7,dove_dormire,"AGRITURISMO ARCA DEL PERO CAPPELLINO",,"Non definito",Agriturismo,"Loc. Costa 199",,Bettola,"Groppo Ducale",Piacenza,Emilia,,44.7347,9.6267,,"0523 917693",arduini.iori@gmail.com,"2022-04-13 00:40:03","2022-06-30 00:40:03"
8,dove_dormire,"AGRITURISMO IL CASTAGNO",,"3 Girasoli",Agriturismo,"LOCALITA' COSTA",,Bettola,"Groppo Ducale",Piacenza,Emilia,,44.7352,9.6282,http://www.aziendaagrituristicailcastagno.it/,"0523 917341",agrit_ilcastagno@libero.it,"2021-01-20 00:40:03","2022-06-30 00:40:03"
9,dove_dormire,"B&B MONTE OSERO",,"Bed & Breakfast","Bed & Breakfast","LOC. MONTOSERO, 6",,Bettola,Montosero,Piacenza,Emilia,,44.7707,9.554,https://www.monteosero.it/index.php,"328 2514821",info@monteosero.it,"2020-08-19 00:40:03","2022-06-30 00:40:03"
10,dove_dormire,"ALBERGO DA RANELLA",,"3 Stelle superior",Albergo,"VIA ROMA 26",,Bobbio,"Mezzano Scotti",Piacenza,Emilia,,44.8084,9.4277,http://www.ristorantedaranella.it/,"0523 937126",daranella@libero.it,"2021-12-21 00:40:03","2022-06-30 00:40:03"
11,dove_dormire,"B&B DON ARISTIDE CONTI",,"Bed & Breakfast","Bed & Breakfast","Piazza San Paolo 2",,Bobbio,"Mezzano Scotti",Piacenza,Emilia,,44.8085,9.43,,"0523 937125",cisco.gandolfi@gmail.com,"2020-12-21 00:40:03","2022-06-30 00:40:03"
12,dove_dormire,"B&B CAMPOFRATI",,"Bed & Breakfast","Bed & Breakfast","Via Campo Frati , 3",,Bobbio,"Mezzano Scotti",Piacenza,Emilia,,44.8174,9.4263,https://www.campofrati.it/home.php,"0523 937201",info@campofrati.it,"2021-02-17 00:40:03","2022-06-30 00:40:03"
13,dove_dormire,"B&B LA TORRETTA RESORT",,"Bed & Breakfast","Bed & Breakfast","Vicolo Buelli 8",,Bobbio,Piancasale,Piacenza,Emilia,,44.7845,9.4113,https://www.latorrettabobbio.it/,"349 1002120",info@latorrettabobbio.it,"2022-02-10 00:40:03","2022-06-30 00:40:03"
14,dove_dormire,"B&B AL MUSEO",,"Bed & Breakfast","Bed & Breakfast","Località Callegari 11",,Bobbio,Callegari,Piacenza,Emilia,,44.8098,9.4553,https://www.museoetnograficovaltrebbia.it/,"0523 937705",museoetnografico@libero.it,"2022-05-06 00:40:03","2022-06-30 00:40:03"
15,dove_dormire,"AGRITURISMO IL VIANDANTE",,"Non definito",Agriturismo,"Loc. Spada, 153",,"Borgonovo Val Tidone",Fabbiano,Piacenza,Emilia,,44.9612,9.4326,http://www.ilviandanteagriturismo.it/,"0523 860014",info@ilviandanteagriturismo.it,"2021-02-10 00:40:03","2022-06-30 00:40:03"
16,dove_dormire,"HOTEL LE RUOTE",,"4 Stelle",Albergo,"Via Emilia Parmense, 204",,Cadeo,Roveleto,Piacenza,Emilia,,44.9629,9.8556,https://www.hotelleruote.com/,"0523 500427",prenotazioni@hotelleruote.it,"2022-02-28 00:40:03","2022-06-30 00:40:03"
17,dove_dormire,"HOTEL LA MAISON DE VI",,"3 Stelle superior",Albergo,"Strada di Cimafava, 67",,"Carpaneto Piacentino",Cimafava,Piacenza,Emilia,,44.9066,9.7734,http://www.lamaisondevi.it/,"0523 043394",info@lamaisondevi.it,"2020-08-12 00:40:03","2022-06-30 00:40:03"
18,dove_dormire,"AGRITURISMO PODERE PALAZZO ILLICA",,"Non definito",Agriturismo,"VIA CANALE 5",,Castell'Arquato,"San Lorenzo",Piacenza,Emilia,,44.8622,9.8946,http://www.podereillica.com/,"0523 803965",info@podereillica.com,"2022-02-10 00:40:03","2022-06-30 00:40:03"
19,dove_dormire,"AGRITURISMO IL CASALE DEL SAPERE E DEL SAPORE",,"3 Girasoli",Agriturismo,"VIA ARMANI 6",,"Castel San Giovanni",Ganaghello,Piacenza,Emilia,,45.0484,9.3815,http://www.saperesapore.it/,"0523 885508",info@saperesapore.it,"2021-01-12 00:40:03","2022-06-30 00:40:03"
20,dove_dormire,"ALBERGO PINETA",,"1 Stella",Albergo,"Località Fontana, 77",,Coli,Fontana,Piacenza,Emilia,,44.7555,9.4161,,"0523 931059",varner.ferrari@gmail.com,"2021-12-21 00:40:03","2022-06-30 00:40:03"
