id,code,name,info,description,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_telephone,contacts_email,contacts_website,created_at,updated_at
35628,golf,"Golf Club Castell'Arquato",,"Ristorante / B&B","Strada Fellegara-Mola",,Alseno,,Piacenza,Emilia,,44.86837,9.921925,"+39 0523 895112",golfclubcastellarquato2021@gmail.com,https://www.emiliaromagnagolf.com/en/golfclub/golf-club-castellarquato.html,"2022-11-24 18:32:34","2023-02-03 18:24:56"
35629,golf,"Croara Country Club",,Ristorante,"Croara Nuova",,Gazzola,,Piacenza,Emilia,,44.92479,9.585278,"+ 39 0523  977105",segreteria@golfcroara.it,https://www.emiliaromagnagolf.com/en/golfclub/croara-country-club.html,"2022-11-24 18:32:34","2022-11-24 18:32:34"
35630,golf,"Golf del Ducato - La Rocca",,"<p>Il percorso La Rocca del Golf del Ducato trova sede nel cuore della Food Valley dove golf e gastronomia si fondono in un magico connubio.&nbsp;</p><p>Fondato nel 1985 ai margini del parco naturale dei Boschi di Carrega a soli 10 minuti da Parma, sorge tra boschi di querce e acacie, splendidi laghetti e un territorio leggermente collinare che da vita allo straordinario parkland a 18 buche con panorami indimenticabili.&nbsp;</p>","Via Campi",8,"Sala Baganza",,Parma,Emilia,,44.70749,10.22665,"+39 0521 834037",larocca@parmagolf.it,https://emiliagolf.it/golf-la-rocca-golf-del-ducato/,"2022-11-24 18:32:34","2025-12-22 16:19:27"
35631,golf,"Golf del Ducato - Salsomaggiore Terme",,<p>Ristorante</p>,"Case Carancini",105/a,"Salsomaggiore Terme",,Parma,Emilia,,44.77897,9.941639,"+39 0524 583102",salso@emiliagolf.it,https://emiliagolf.it/golf-salsogolf/,"2022-11-24 18:32:34","2025-12-22 16:19:09"
35632,golf,"Reggio Emilia Golf - eliminato post segnalazione 26/3/24 ERGolf",,<p>Ristorante</p>,"Via G. Lorca",5,"Reggio nell'Emilia",,"Reggio nell'Emilia",Emilia,,44.66448,10.72477,"+ 39 0522 345209",info@reggioemiliagolf.com,https://www.reggioemiliagolf.com,"2022-11-24 18:32:34","2023-02-10 12:41:04"
35633,golf,"Matilde Golf",,"<p>Nel cuore delle splendide Terre Matildiche, appena fuori dalla città, il Golf Matilde di Canossa sorge dal 1987 nella spettacolare cornice di splendidi paesaggi, circondato da terre ricche di storia e tradizioni importanti.</p><p>EXTRA: piscina, bar, ristorante.</p><p>Aperto tutto l?anno, chiuso i lunedì non festivi.</p>","Via del Casinazzo",1,"Reggio nell'Emilia",,"Reggio nell'Emilia",Emilia,,44.67599,10.53188,"+ 39 342 5121318",segreteria@matildegolf.it,https://www.matildegolf.com/,"2022-11-24 18:32:34","2023-02-10 12:42:44"
35634,golf,"San Valentino Golf Club",,"<p>Corsi di golf per adulti e bambini; club house attrezzata con ristorante, american bar, aree meeting e convention, sale gioco, palestra, sauna, piscina con spogliatoi; pro shop all?interno di un oasi con quattro laghi per gli amanti della pesca sportiva; hotel con camere doppie e family per passare una notte immersi nella natura. Queste sono solo alcune delle caratteristiche e attività che fanno del San Valentino Golf Club un vero e proprio paradiso per il tempo libero e, allo stesso tempo, la location ideale per qualsiasi business.</p>","Via Telarolo",12,Castellarano,,"Reggio nell'Emilia",Emilia,,44.53236,10.68743,"+ 39 0536 854033",info@sanvalentino.it,https://www.sanvalentino.it/en/home-2/,"2022-11-24 18:32:34","2023-02-10 12:42:21"
35635,golf,"Golf Club Santo Stefano",,"<p>Nel cuore della Food Valley, in una corte medievale immersa nel verde, il Golf Club Santo Stefano ti aspetta per vivere una vera esperienza di relax e divertimento, tra sport e arte, tuffi in <strong>piscina</strong> e ottima cucina.</p><p>Il Golf Club Santo Stefano è facilmente raggiungibile dai caselli autostradali di Reggiolo (10 km), Carpi (15 Km) e Reggio Emilia (20 km).<br>Aperto tutto l?anno</p>","Via Vettigano",26,"Campagnola Emilia",,"Reggio nell'Emilia",Emilia,,44.83365,10.77434,"+ 39 0522 652915",gare@golfsantostefano.eu,https://www.golfsantostefano.com,"2022-11-24 18:32:34","2023-02-10 12:40:29"
35636,golf,"Modena Golf & Country Club",,,"via Castelnuovo Rangone",4,Formigine,,Modena,Bologna-Modena,,44.54832,10.9038,"+ 39 059 553482",segreteria@modenagolf.it,https://www.visitmodena.it/en/discover-modena/nature-sport-and-well-being/golf/modena-golf-country-club,"2022-11-24 18:32:34","2023-02-09 17:23:18"
35637,golf,"Monte Cimone Golf Club",,,"Via Statale per Fanano",,Sestola,,Modena,Bologna-Modena,41029,44.22648,10.78344,+39,info@montecimonegolfclub.com,http://www.montecimonegolfclub.com/,"2022-11-24 18:32:34","2022-11-24 18:32:34"
