id,type,name,url,structure_name,opening,city,province,address,number,lat,lng,status
61355,IAT,"Bobbio e Val Trebbia - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/PhGoasN4wfKF56vVA,,,Bobbio,Piacenza,,,"44,7693398","9,384097",Pubblico
61356,"IAT R","Castell'Arquato e Val d'Arda - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/11cmkwRZDE1fqKCh6,,,Castell'Arquato,Piacenza,,,"44,8512065","9,8643043",Pubblico
61357,"Welcome Room","Fiorenzuola d'Arda - Welcome Room",https://maps.app.goo.gl/wouaLp2BriaqCMLu8,,,"Fiorenzuola d'Arda",Piacenza,,,"44,9286216","9,9052909",Pubblico
61358,"IAT R","Piacenza - Ufficio Informazioni e Accoglienza Turistica (IAT-R) - VisitPiacenza",https://maps.app.goo.gl/YWVMXEFDhFJ1yxRU6,,,Piacenza,Piacenza,,,"45,0522144","9,6901373",Pubblico
61359,"IAT R","Grazzano Visconti e Valnure Valchero - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/vxVnq44qtof8QWHBA,,,Vigolzone,Piacenza,,,"44,9339631","9,6695915",Pubblico
61360,"Welcome Room","Vigoleno - Welcome Room",https://maps.app.goo.gl/335HQb9CqiLM78Cy5,,,Vernasca,Piacenza,,,"44,8170113","9,8979026",Pubblico
61361,"Welcome Room","Bedonia - Welcome Room",https://maps.app.goo.gl/Cy75YpDLpnHhLHTe8,,,Bedonia,Parma,,,"44,5031983","9,6279348",Pubblico
61362,IAT,"Borgo Val di Taro e Val Ceno - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/mapKGyhNE26tu6dv6,,,"Borgo Val di Taro",Parma,,,"44,4880892","9,7646909",Pubblico
61363,"IAT R","Busseto e Terre verdiane - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/6wf8xMgNZQSYXaQf9,,,Busseto,Parma,,,"44,9814352","10,0388968",Pubblico
61364,"IAT R","Colorno e Sorbolo Mezzani - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/hbjMuvBiFusQPVANA,,,Colorno,Parma,,,"44,9304044","10,376563",Pubblico
61365,"IAT R","Fidenza Casa Cremonini - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/rS2eNwTUoJMsW8ZS8,,,Fidenza,Parma,,,"44,866867","10,0547045",Pubblico
61366,"Welcome Room","Fidenza Village - Welcome Room",https://maps.app.goo.gl/9WQf3Mh1Nn1v41ar9,,,Fidenza,Parma,,,"44,8841891","10,0875187",Pubblico
61367,IAT,"Fontanellato - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/UfSFXrsJaWU1QuKn8,,,Fontanellato,Parma,,,"44,8828179","10,1700153",Pubblico
61368,"Welcome Room","Fontevivo - Welcome Room",https://maps.app.goo.gl/WoJqXLZSbu72qY8b9,,,Fontevivo,Parma,,,"44,8573272","10,1735648",Pubblico
61370,IAT,"Langhirano - Torrechiara e Val Parma - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/tzb2uQu119GXGiGn8,,,Langhirano,Parma,,,"44,6559489","10,2717041",Pubblico
61371,"IAT R","Parma - Ufficio Informazioni e Accoglienza Turistica (IAT-R) - ParmaWelcome",https://maps.app.goo.gl/KiprNT4GKTQaArsTA,,,Parma,Parma,,,"44,8035256","10,3248931",Pubblico
61372,IAT,"Salsomaggiore Terme - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/9TdDGc1zt3WHgVdL6,,,"Salsomaggiore Terme",Parma,,,"44,815436","9,9773818",Pubblico
61373,"Welcome Room","San Secondo Parmense - Welcome Room",https://maps.app.goo.gl/4qEsFYwk992Kr5yj8,,,"San Secondo Parmense",Parma,,,"44,9199804","10,2238655",Pubblico
61374,IAT,"Sala Baganza e Valli di Parma - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/SbpFe3vhzWbak7Nk8,,,"Sala Baganza",Parma,,,"44,7126265","10,2251091",Pubblico
61375,"Welcome Room","Correggio - Welcome Room",https://maps.app.goo.gl/FtQXGRoNb8dPGg627,,,Correggio,"Reggio nell'Emilia",,,"44,7720008","10,779535",Pubblico
61376,IAT,"Guastalla e Bassa reggiana - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/LLvatdA5YoMYzkZ7A,,,Guastalla,"Reggio nell'Emilia",,,"44,9222967","10,6543876",Pubblico
61377,"IAT R","Reggio Emilia - Ufficio Informazioni e Accoglienza Turistica (IAT-R) - Reggio Emilia Welcome",https://maps.app.goo.gl/4ZzsTQkArP4dYvPd7,,,"Reggio nell'Emilia","Reggio nell'Emilia",,,"44,6974294","10,6273876",Pubblico
61378,IAT,"Castelnovo ne' Monti e Appennino reggiano - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/LWxJbhnqqGU4MJX28,,,"Castelnovo ne' Monti","Reggio nell'Emilia",,,"44,4345747","10,3987091",Pubblico
61379,IAT,"Bagno di Romagna - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/sg48KfppECwfgbWj9,,,"Bagno di Romagna",Forlì-Cesena,,,"43,8332658","11,9585367",Pubblico
61380,"Welcome Room","Bertinoro - Welcome Room",https://maps.app.goo.gl/YNJt7rSLskRziRpaA,,,Bertinoro,Forlì-Cesena,,,"44,1493464","12,1312855",Pubblico
61381,"Welcome Room","Castrocaro Terme e Terra del Sole - Welcome Room",https://maps.app.goo.gl/fr9aimMEhcMfSGSAA,,,"Castrocaro Terme e Terra del Sole",Forlì-Cesena,,,"44,1717216","11,9442508",Pubblico
61382,"IAT R","Cesena - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/ddo53H5Y4wT4LFv76,,,Cesena,Forlì-Cesena,,,"44,1368071","12,239823",Pubblico
61383,IAT,"Cesenatico - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/nyxvTQb2QzRAt75G9,,,Cesenatico,Forlì-Cesena,,,"44,2002215","12,3853287",Pubblico
61384,"IAT Mobile","Cesenatico Valverde - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/skqzey2gxCLtQqEC9,,"Da Pasqua a metà settembre",Cesenatico,Forlì-Cesena,"Viale Carducci",292,"44,181008","12,4232807",Pubblico
61385,IAT,"Forlì - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/sbWaXARiJudy8gvUA,,,Forlì,Forlì-Cesena,,,"44,2226037","12,0401697",Pubblico
61386,IAT,"Forlimpopoli - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/epY25F76nVkcrZGS7,,,Forlimpopoli,Forlì-Cesena,,,"44,1883156","12,124103",Pubblico
61388,IAT,"Gatteo mare - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/oumfnPtapCTs7dvC9,,,Gatteo,Forlì-Cesena,"Piazza della Libertà",10,"44,1707578","12,4340055",Pubblico
61389,"Welcome Room","Longiano - Welcome Room",https://maps.app.goo.gl/3VGhmNhdRZtHXKx97,,,Longiano,Forlì-Cesena,,,"44,0727656","12,3225946",Pubblico
61390,IAT,"Predappio - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/HyTYDw9QKJPNdN7A7,,,Predappio,Forlì-Cesena,,,"44,101794","11,9778418",Pubblico
61391,"Welcome Room","Premilcuore - Welcome Room",https://maps.app.goo.gl/vfTZuKgfaUZs72BE9,,,Premilcuore,Forlì-Cesena,,,"43,9791919","11,7783094",Pubblico
61392,IAT,"San Mauro mare - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/FPhEmyQjDq2LpvSUA,,,"San Mauro Pascoli",Forlì-Cesena,,,"44,1634369","12,442032",Pubblico
61393,"Welcome Room","Santa Sofia - Welcome Room",https://maps.app.goo.gl/ZE13D34VXqHK1zzT8,,,"Santa Sofia",Forlì-Cesena,,,"43,9475133","11,904822",Pubblico
61394,"IAT Mobile","Sarsina - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/Q3rBxH1tQYMb1FM39,,Annuale,Sarsina,Forlì-Cesena,,,"43,9191664","12,141353",Pubblico
61395,"IAT Mobile","Verghereto - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/DDd6zBmSTRUkiaCi9,,"Da Maggio a Ottobre",Verghereto,Forlì-Cesena,,,"43,7774315","12,0887996",Pubblico
61397,IAT,"Abbazia di Pomposa - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/vejUZtpFQ35DAiEk8,,,Codigoro,Ferrara,,,"44,8324863","12,1724385",Pubblico
