title,destination,image_id,image_url,image_thumb_url,image_title,image_name,image_width,image_height,image_copyright,image_license,image_license_url,location_lat,location_lng,location_city_id,location_city_istat,location_city_city,location_city_country,location_city_province,location_city_province_short,location_city_region,permalink,updated_at
Calendasco,Emilia,182,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/182/calendasco-pc-castello-Ph.-turismoapiacenza.it-CC-BY-NC-SA.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/182/conversions/calendasco-pc-castello-Ph.-turismoapiacenza.it-CC-BY-NC-SA-thumb.jpg,"Calendasco (PC), castello","calendasco-pc-castello-Ph. turismoapiacenza.it-CC-BY-NC-SA",1200,436,"Calendasco (PC), castello, ph. turismoapiacenza.it","CC BY-NC-SA 3.0",http://creativecommons.org/licenses/by-nc-sa/3.0/it/legalcode,45.087877,9.593988,8,33008,Calendasco,Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/calendasco,"2021-04-09 15:56:24"
Caorso,Emilia,180,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/180/caorso-piacenza-rocca-mandelli-Ph.Provincia-di-Piacenza-CC-BY-NC-SA.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/180/conversions/caorso-piacenza-rocca-mandelli-Ph.Provincia-di-Piacenza-CC-BY-NC-SA-thumb.jpg,"Caorso (PC), Rocca Mandelli","caorso-piacenza-rocca-mandelli-Ph.Provincia di Piacenza-CC-BY-NC-SA",1200,436,"Caorso (PC), Rocca Mandelli, Archivio Provincia di Piacenza","CC BY-NC-SA 3.0",http://creativecommons.org/licenses/by-nc-sa/3.0/it/legalcode,45.0496283,9.8698319,10,33010,Caorso,Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/caorso,"2021-04-09 15:57:16"
"Castel San Giovanni",Emilia,179,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/179/Castel_San_Giovanni-Piacenza-Ph.Szeder-La%CC%80szlo%CC%80-CC-BY-SA-4.0.jpeg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/179/conversions/Castel_San_Giovanni-Piacenza-Ph.Szeder-La%CC%80szlo%CC%80-CC-BY-SA-4.0-thumb.jpg,"Castel San Giovanni (PC), veduta piazza","Castel_San_Giovanni-Piacenza-Ph.Szeder La?szlo?-CC-BY-SA-4.0",1200,900,"Castel San Giovanni (PC), veduta piazza, ph. Szeder La?szlo?","CC BY-SA 4.0",http://creativecommons.org/licenses/by-sa/4.0/it/legalcode,45.0596156,9.4390093,12,33013,"Castel San Giovanni",Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/castel-san-giovanni,"2021-04-09 15:58:10"
"Castelvetro Piacentino",Emilia,192,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/192/Castelvetro_Piacentino_pc-stazione_Ph.-Arbalete-CC-BY_SA-3.0.jpeg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/192/conversions/Castelvetro_Piacentino_pc-stazione_Ph.-Arbalete-CC-BY_SA-3.0-thumb.jpg,"Castelvetro Piacentino (PC), stazione","Castelvetro_Piacentino_pc-stazione_Ph. Arbalete-CC-BY_SA-3.0",1200,788,"Castelvetro Piacentino (PC), stazione, ph. Arbalete","CC BY-SA 3.0",http://creativecommons.org/licenses/by-sa/3.0/it/legalcode,45.0967505,9.987969,14,33014,"Castelvetro Piacentino",Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/castelvetro-piacentino,"2020-11-11 11:45:32"
"Monticelli d'Ongina",Emilia,177,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/177/monticelli-d%27ongina-piacenza-castello-ph.-Comune-Monticelli-d%27Ongina-CC-BY-NC-SA.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/177/conversions/monticelli-d%27ongina-piacenza-castello-ph.-Comune-Monticelli-d%27Ongina-CC-BY-NC-SA-thumb.jpg,"Monticelli d'Ongina (PC), castello","monticelli-d'ongina-piacenza-castello-ph. Comune Monticelli d'Ongina-CC-BY-NC-SA",1200,749,"Monticelli d'Ongina (PC), castello, ph. Comune Monticelli d'Ongina","CC BY-NC-SA 3.0",http://creativecommons.org/licenses/by-nc-sa/3.0/it/legalcode,45.0908501,9.9319872,27,33027,"Monticelli d'Ongina",Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/monticelli-d-ongina,"2020-11-11 11:48:20"
"Pianello Val Tidone",Emilia,175,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/175/pianello-val-tidone-pc-Ph.-Comune-di-Pianello-Val-Tidone-CC-BY-NC-SA.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/175/conversions/pianello-val-tidone-pc-Ph.-Comune-di-Pianello-Val-Tidone-CC-BY-NC-SA-thumb.jpg,"Pianello Val Tidone (PC), veduta del borgo","pianello-val-tidone-pc-Ph. Comune di Pianello Val Tidone-CC-BY-NC-SA",1200,412,"Pianello Val Tidone (PC), veduta del borgo, ph. Comune di Pianello Val Tidone","CC BY-NC-SA 3.0",http://creativecommons.org/licenses/by-nc-sa/3.0/it/legalcode,44.9482896,9.4044925000001,33,33033,"Pianello Val Tidone",Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/pianello-val-tidone,"2021-04-09 16:35:20"
Rottofreno,Emilia,3245,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/3218/Rottofreno%28PC%29%2C-Castello-in-localit%C3%A0-Santimento%2C-archivio-immagini-Comune-di-Piacenza.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/3218/conversions/Rottofreno%28PC%29%2C-Castello-in-localit%C3%A0-Santimento%2C-archivio-immagini-Comune-di-Piacenza-thumb.jpg,"Rottofreno(PC), Castello in località Santimento","Rottofreno(PC), Castello in località Santimento, archivio immagini Comune di Piacenza",1200,941,"Rottofreno(PC), Castello in località Santimento, archivio immagini Comune di Piacenza","CC BY-NC-SA 3.0",http://creativecommons.org/licenses/by-nc-sa/3.0/it/legalcode,45.0576756,9.5477609,39,33039,Rottofreno,Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/rottofreno,"2020-10-07 15:30:04"
"San Pietro in Cerro",Emilia,185,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/185/san_pietro_in_cerro%2Cpiacenza%2Ccastello_di_san_pietro_in_cerro_WLM2014%2Cph.ghizzoni_claudio-CC-BY-SA-3.0.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/185/conversions/san_pietro_in_cerro%2Cpiacenza%2Ccastello_di_san_pietro_in_cerro_WLM2014%2Cph.ghizzoni_claudio-CC-BY-SA-3.0-thumb.jpg,"San Pietro in Cerro (PC), castello","san_pietro_in_cerro,piacenza,castello_di_san_pietro_in_cerro_WLM2014,ph.ghizzoni_claudio-CC-BY-SA-3.0",1200,803,"San Pietro in Cerro (PC), castello, ph. ghizzoni claudio, WLM 2014","CC BY-SA 3.0",http://creativecommons.org/licenses/by-sa/3.0/it/legalcode,45.0216508,9.9478696,41,33041,"San Pietro in Cerro",Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/san-pietro-in-cerro,"2020-12-01 16:56:04"
Sarmato,Emilia,196,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/196/sarmato%2Cpiacenza%2Ccastello_di_sarmato%2CWLM2017%2Cph.gppaless-CC-BY-SA-4.0.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/196/conversions/sarmato%2Cpiacenza%2Ccastello_di_sarmato%2CWLM2017%2Cph.gppaless-CC-BY-SA-4.0-thumb.jpg,"Sarmato (PC), castello","sarmato,piacenza,castello_di_sarmato,WLM2017,ph.gppaless-CC-BY-SA-4.0",1200,800,"Sarmato (PC), castello, ph. gppaless, WLM2017","CC BY-SA 4.0",http://creativecommons.org/licenses/by-sa/4.0/it/legalcode,45.0601292,9.4903779,42,33042,Sarmato,Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/sarmato,"2020-10-22 15:46:32"
"Ziano Piacentino",Emilia,2352,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/2325/Jelmoni__Cecilia_Ziano.jpg,https://d2fg1aan4gy9m1.cloudfront.net/ert/images/2325/conversions/Jelmoni__Cecilia_Ziano-thumb.jpg,"Ziano  Piacentino (PC), vigneti",Jelmoni__Cecilia_Ziano,1200,1200,"Ziano Piacentino  (PC), vigneti, ph. Jelmoni Cecilia, archivio Comune di Ziano  Piacentino","CC BY-NC-SA 3.0",http://creativecommons.org/licenses/by-nc-sa/3.0/it/legalcode,45.0011238,9.4007094999999,48,33048,"Ziano Piacentino",Italia,Piacenza,PC,"Emilia Romagna",https://emiliaromagnaturismo.it/it/localita/ziano-piacentino,"2020-12-01 16:43:22"
