id,code,name,info,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_website,contacts_phone,contacts_email,created_at,updated_at
1,luoghi_verdiani,"Villa Verdi Sant'Agata",,"via Giuseppe Verdi, 31 22",,"Sant'Agata di Villanova sull'Arda",,Piacenza,Emilia,29010,45.00575,10.03594444,https://www.villaverdi.info/,"0523 830000/349 5614424",info@villaverdi.org,"2020-10-06 19:42:27","2022-03-29 17:40:35"
2,luoghi_verdiani,"Casa Barezzi",,"via Roma ",,Busseto,,Parma,Emilia,43011,44.980754,10.042515,http://www.museocasabarezzi.it/,"0524 931117 - 339 4449414",info@museocasabarezzi.it,"2020-10-06 19:42:27","2022-03-29 17:40:35"
3,luoghi_verdiani,"Palazzo Orlandi","attualmente chiuso alle visite","via Roma, 56",,Busseto,,Parma,Emilia,43011,44.979983,10.041872,http://www.bussetolive.com/en/poi/palazzo-orlandi/,"0524  92487",info@bussetolive.com,"2020-10-06 19:42:27","2022-03-29 17:40:35"
4,luoghi_verdiani,"Casa natale di Roncole",,"via della Processione",,Busseto,Roncole,Parma,Emilia,43011,44.95205,10.07225,http://www.casanataleverdi.it/,"0524 97450",info@bussetolive.com,"2020-10-06 19:42:27","2022-03-29 17:40:35"
5912,luoghi_verdiani,"Teatro Verdi",,"Piazza Giuseppe Verdi",,Busseto,,Parma,Emilia,43011,44.98116,10.04002,http//www.bussetolive.com,"0524  92487",info@bussetolive.com,"2022-03-29 17:40:35","2022-03-29 17:40:35"
5913,luoghi_verdiani,"Museo nazionale Giuseppe Verdi",,"Viale Ziliani ",,Busseto,,Parma,Emilia,43011,44.97761,10.03531,http://www.museogiuseppeverdi.it/,"0524 931002",info@museogiuseppeverdi.it,"2022-03-29 17:40:35","2022-03-29 17:40:35"
5927,luoghi_verdiani,"Teatro Verdi",,"Piazza Giuseppe Verdi",,Busseto,,Parma,Emilia,43011,44.98116,10.04002,http//www.bussetolive.com,"0524  92487",info@bussetolive.com,"2022-03-29 17:41:13","2022-03-29 17:41:13"
5928,luoghi_verdiani,"Museo nazionale Giuseppe Verdi",,"Viale Ziliani ",,Busseto,,Parma,Emilia,43011,44.97761,10.03531,http://www.museogiuseppeverdi.it/,"0524 931002",info@museogiuseppeverdi.it,"2022-03-29 17:41:13","2022-03-29 17:41:13"
5942,luoghi_verdiani,"Teatro Verdi",,"Piazza Giuseppe Verdi",,Busseto,,Parma,Emilia,43011,44.98116,10.04002,http//www.bussetolive.com,"0524  92487",info@bussetolive.com,"2022-03-29 17:47:50","2022-03-29 17:47:50"
5943,luoghi_verdiani,"Museo nazionale Giuseppe Verdi",,"Viale Ziliani ",,Busseto,,Parma,Emilia,43011,44.97761,10.03531,http://www.museogiuseppeverdi.it/,"0524 931002",info@museogiuseppeverdi.it,"2022-03-29 17:47:50","2022-03-29 17:47:50"
5966,luoghi_verdiani,"Teatro Verdi",,"Piazza Giuseppe Verdi",,Busseto,,Parma,Emilia,43011,44.98116,10.04002,http//www.bussetolive.com,"0524  92487",info@bussetolive.com,"2022-03-29 17:50:17","2022-03-29 17:50:17"
5967,luoghi_verdiani,"Museo nazionale Giuseppe Verdi",,"Viale Ziliani ",,Busseto,,Parma,Emilia,43011,44.97761,10.03531,http://www.museogiuseppeverdi.it/,"0524 931002",info@museogiuseppeverdi.it,"2022-03-29 17:50:17","2022-03-29 17:50:17"
