id,code,name,info,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_telephone,contacts_email,contacts_website,created_at,updated_at
35653,motor_valley,"Museo Enzo Ferrari",,"Via Paolo Ferrari",85,Modena,,Modena,Bologna-Modena,,44.651504,10.9356133,"+ 39 059 4397979",biglietteriamef@ferrari.com,https://www.ferrari.com/en-EN/museums,"2022-11-24 18:32:35","2023-02-09 18:11:43"
35654,motor_valley,"Museo Ducati",,"Via Cavalieri Ducati",3,Bologna,,Bologna,Bologna-Modena,40132,44.51614,11.26817,"+39 051 6413343",https://www.ducati.com/it/it/museo-e-fabbrica-ducati/museo#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:35","2022-11-24 18:32:35"
35655,motor_valley,"Museo del Patrimonio Industriale",,"Ex Fornace Galotti - Via della Beverara",123,Bologna,,Bologna,Bologna-Modena,40131,44.52168,11.33456,"+39 051 6356611",museopat@comune.bologna.it,http://www.museibologna.it/patrimonioindustriale/?utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:35","2022-11-24 18:32:35"
35656,motor_valley,"Museo Lamborghini",,"Via Modena",12,"Sant'Agata Bolognese",,Bologna,Bologna-Modena,,44.65918,11.12603,"+ 39 051 6817611",https://www.lamborghini.com/it-en/museo,"2022-11-24 18:32:36","2023-02-13 11:23:46"
35657,motor_valley,"Museo Ferruccio Lamborghini",,"Strada Provinciale Galliera",319,Argelato,,Bologna,Bologna-Modena,40050,44.60748,11.36826,"+ 39 345 2637045",reservation@museolamborghini.com,https://www.museolamborghini.com,"2022-11-24 18:32:36","2022-11-24 18:32:36"
35658,motor_valley,"Museo Ferrari di Maranello",,"via Dino Ferrari",43,Maranello,,Modena,Bologna-Modena,,44.5301183,10.8611516,"+ 39 0536 949713",museo@ferrari.com,https://www.ferrari.com/en-EN/museums,"2022-11-24 18:32:36","2023-02-09 18:12:12"
35659,motor_valley,"Pagani Automobili - fabbrica e museo",,"Via dell'Industria",26,"San Cesario sul Panaro",,Modena,Bologna-Modena,,44.5887089,11.0236672,"+ 39 059 220022",paganitour@modenatur.it,https://www.visitmodena.it/en/discover-modena/motor-valley/explore-motorvalley/pagani-automobili-visit-to-the-factory-and-museum,"2022-11-24 18:32:36","2023-02-09 18:12:39"
35660,motor_valley,"Museo Francesco Baracca",,"via Baracca",65,Lugo,,Ravenna,Romagna,,44.41725,11.90932,"+ 39 0545 38105",museobaracca@comune.lugo.ra.it,https://www.museobaracca.it/il-museo/?lang=en,"2022-11-24 18:32:36","2023-02-09 18:55:29"
35661,motor_valley,"Museo Marco Simoncelli - La Storia del Sic",,"Via Garibaldi",127,Coriano,,Rimini,Romagna,47853,43.96538,12.60246,"+39 0541 658100",info@lastoriadelsic.com,https://lastoriadelsic.com/,"2022-11-24 18:32:36","2022-11-24 18:32:36"
35662,motor_valley,"Dallara Accademy",,"Via Provinciale",33/a,"Varano de' Melegari",,Parma,Emilia,,44.68788,10.02871,"+39 0525 1982980",academy@dallara.it,https://www.dallara.it,"2022-11-24 18:32:36","2023-02-10 18:19:37"
