id,code,name,info,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_telephone,contacts_email,contacts_website,created_at,updated_at
35727,parchi_avventura,"Parco Avventura Valtrebbia",,"Lago Maiardà",,Coli,,Piacenza,Emilia,,44.75802,9.432249,"+39 392 9418017",info@parcoavventuravaltrebbia.it,https://visitpiacenza.it/en/nature-and-outdoor/parco-avventura-valtrebbia-2/,"2022-11-24 17:32:39","2023-02-03 17:27:24"
35728,parchi_avventura,Forestavventura,,"Loc. Prato Spilla",,"Monchio delle Corti",,Parma,Emilia,,44.36143,10.10841,"+39 334 1780003",forestavventura.pratospilla@gmail.com,http://www.forestavventura.it,"2022-11-24 17:32:39","2024-02-27 16:32:04"
35729,parchi_avventura,Cerwood,,"Via delle Fonti Santa Lucia",,Ventasso,,"Reggio Emilia",Emilia,42036,44.39791,10.31899,"+39 ",info@cerwood.it,https://,"2022-11-24 17:32:39","2022-11-24 17:32:39"
35730,parchi_avventura,"Adventure Park Cimone ",,"Via dell'Aeronautica",,Sestola,,Modena,Bologna-Modena,41029,44.20883,10.72065,"+39 ",info@adventureparkcimone.it,https://,"2022-11-24 17:32:40","2022-11-24 17:32:40"
35731,parchi_avventura,Esploraria,,"Via San Giacomo",,Zocca,,Modena,Bologna-Modena,,44.3394102,11.0162768,"+ 39 388 1872500",vacanze@esploraria.info,https://www.esploraria.info/it,"2022-11-24 17:32:40","2023-02-09 17:16:52"
35732,parchi_avventura,"Piane Avventura ",,"Via Giuseppe Verdi",,"Lama Mocogno",,Modena,Bologna-Modena,41023,44.28565,10.66152,"+39 ",info@pianedimocogno.it,https://,"2022-11-24 17:32:40","2022-11-24 17:32:40"
35733,parchi_avventura,"Parco Avventura Saltapicchio",,"Loc Querceti",,Camugnano,,Bologna,Bologna-Modena,,44.12834,11.04351,"+ 39 349 3088410",info@parcoavventurasaltapicchio.com,https://www.parcoavventurasaltapicchio.com/,"2022-11-24 17:32:40","2023-02-06 17:03:49"
35734,parchi_avventura,"Triton?s Park Adventure",,"Via S. Pietro",70,Monghidoro,,Bologna,Bologna-Modena,,44.18825,11.31913,"+ 39 347 8569160",tritonspark.lacarovana@gmail.com,http://www.tritonspark.it/,"2022-11-24 17:32:40","2023-02-06 17:03:17"
35735,parchi_avventura,"Around Adventures",,"Via Superga",190,Bertinoro,,Forlì-Cesena,Romagna,,44.13731,12.09952,"+ 39 348 0190086",info@aroundadventures.it,https://aroundadventures.it/,"2022-11-24 17:32:40","2024-02-29 16:19:25"
35736,parchi_avventura,Skypark,,"Via Greppa",,Novafeltria,,Rimini,Romagna,,43.91041,12.24519,"+ 39 0541 927330",info@skypark.it,https://skypark.it/,"2022-11-24 17:32:40","2023-02-23 17:13:43"
35737,parchi_avventura,CerviAvventura,,"Via Carlo Forlanini",,Cervia,,Ravenna,Romagna,,44.2732549,12.327709,"+ 39 0544 995671",cerviavventura@atlantide.net,http://www.atlantide.net/amaparco/cerviavventura/,"2022-11-24 17:32:40","2023-01-27 11:48:52"
35964,parchi_avventura,"River Park",,"viale Cesare Zavattini (ex Viale Po)",,Luzzara,,"Reggio Emilia",,42045,44.9681014,10.673852,"+39 333 4710824",riverparkluzzara@gmail.com,https://www.comune.luzzara.re.it/servizi/Menu/dinamica.aspx?idSezione=440&idArea=456&idCat=464&ID=13352&TipoElemento=categoria,"2022-11-24 17:32:52","2022-11-24 17:32:52"
35967,parchi_avventura,"Parco Avventura Cà di Gianni",,"Localita' Ca' Di Gianni",159,"Bagno di Romagna",,Forlì-Cesena,,47021,43.852733,11.987691,"+39 347 9186715",parcocadigianni@gmail.com,https://www.parcoavventuracadigianni.it/,"2022-11-24 17:32:52","2022-11-24 17:32:52"
37788,parchi_avventura,"Rimini Avventura",,"Via Galliano",,Rimini,,Rimini,Romagna,,44.0598317,12.5601423,"+ 39 3395930505",info@riminiavventura.it,https://www.riminiavventura.it/,"2023-01-13 13:11:52","2023-01-13 13:11:52"
38575,parchi_avventura,"Riccione Avventura",,"Viale Maurizio Bufalini",9,Riccione,,Rimini,Romagna,,43.9980146,12.6512891,"+ 39  339 593 0505",info@riccioneavventura.it,https://www.riccioneavventura.it/,"2023-02-16 14:30:53","2023-02-16 14:30:53"
