id,code,name,info,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_website,contacts_phone,contacts_email,created_at,updated_at
5745,stazioni_sciistiche,"Passo Penice",,Loc.Cavarelli,,Bobbio,Cavarelli,Piacenza,Emilia,29022,44.79728,9.326104,https://www.passopenice.it/it/,"0523 933411",passopenice@libero.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5746,stazioni_sciistiche,Schia,,"Piazzale Bocchi Noè",,"Tizzano Val Parma",Schia,Parma,Emilia,43028,44.47626,10.1767,http://www.schiamontecaio.it/,,info@schiamontecaio.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5747,stazioni_sciistiche,"Prato Spilla ",,"Loc. Prato Spilla",,"Monchio delle corti","Prato Spilla",Parma,Emilia,43010,44.36107,10.10835,http://www.pratospilla.pr.it/skiresort/,,info@pratospilla.pr.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5748,stazioni_sciistiche,"Cerreto Laghi",,"Piazzale del Lago",,Ventasso,"Cerreto Laghi","Reggio Emilia",Emilia,42032,44.29761,10.24361,http://www.cerretolaghi.info/,,info@cerretolaghi.info,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5749,stazioni_sciistiche,Pratizzano,,"Strada Provinciale",,Ventasso,Pratizzano,"Reggio Emilia",Emilia,42030,44.37665,10.24915,http://www.appenninoreggiano.it/schede.asp?lang=it&d=piste-da-fondo-di-pratizzano&page=1,,,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5750,stazioni_sciistiche,"Ventasso Laghi",,"Via Caduti Eliambulanza Charlie-Alfa",,Ventasso,"Ventasso Laghi","Reggio Emilia",Emilia,42030,44.3859,10.27384,https://stazione-sciistica-ventasso-laghi.webnode.it/,,claudiosport2016@libero.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5751,stazioni_sciistiche,Febbio,,"Via Rescadore",,"Villa Minozzo",Rescadore,"Reggio Emilia",Emilia,42030,44.29858,10.42613,http://www.infofebbio.com/,,segreteria@infofebbio.com,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5752,stazioni_sciistiche,Cimone,,"Via Passo Del Lupo",,Sestola,,Modena,"Bologna e Modena",41029,44.21542,10.71884,https://www.cimonesci.it/,,info@cimonesci.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5753,stazioni_sciistiche,"Frassinoro - Piandelagotti ",,"Via Rocatello",,Frassinoro,Piandelagotti,Modena,"Bologna e Modena",41044,44.22658,10.49692,http://www.centrofondoboscoreale.com/,,info@centrofondoboscoreale.com,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5754,stazioni_sciistiche,"Pievepelago - Sant'Annapelago ",,"Via Casa Cattoia",,Pievepelago,Sant'Annapelago,Modena,"Bologna e Modena",41027,44.18963,10.54933,http://www.nordappennino.it/,,info@nordappennino.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5755,stazioni_sciistiche,"Piane di Mocogno",,"Via Giuseppe Verdi",,"Lama Mocogno",,Modena,"Bologna e Modena",41023,44.28565,10.66152,http://www.pianedimocogno.it/,,info@pianedimocogno.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5756,stazioni_sciistiche,Fiumalbo,,"Via Versurone",,Fiumalbo,"Doccia del Cimone",Modena,"Bologna e Modena",41022,44.1769,10.65066,http://www.appenninomodenese.net/apmo/,,info@lacapannadeicelti.com,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5757,stazioni_sciistiche,"Corno alle Scale",,"SP del Cavone",,"Lizzano in Belvedere",,Bologna,"Bologna e Modena",40042,44.12897,10.81029,https://www.cornoallescale.net/,,info@cornoallescale.net,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5758,stazioni_sciistiche,"Campigna - Santa Sofia",,"Località Fangacci",,"Santa Sofia",Campigna,Forlì-Cesena,Romagna,47018,43.87928,11.71593,http://www.campigna.it/it/inverno,"0543 980054 ",info@campigna.it,"2021-02-10 00:08:01","2022-03-29 17:40:36"
5759,stazioni_sciistiche,Fumaiolo/Balze,,"Via Tevere",,Verghereto,Balze,Forlì-Cesena,Romagna,47028,43.79276,12.07547,http://www.fumaioloneve.com/,,fumaioloneve@gmail.com,"2021-02-10 00:08:01","2022-03-29 17:40:36"
