id;code;name;info;location_address;location_number;location_city;location_localita;location_province;location_destination;location_cap;location_lat;location_lng;contacts_website;contacts_phone;contacts_email;created_at;updated_at
5635;golf;"Golf Club Castell'Arquato";"Ristorante / B&B";"Strada Fellegara-Mola";;Alseno;;Piacenza;"Destinazione Emilia";29010;44.86837;9.921925;http://www.golfclubcastellarquato.com/;;info.golfclubcastellarquato@gmail.com;"2020-12-29 15:28:43";"2020-12-31 07:55:15"
5636;golf;"Croara Country Club";Ristorante;"Croara Nuova";;Gazzola;;Piacenza;"Destinazione Emilia";29010;44.92479;9.585278;https://www.golfcroara.it;;segreteria@golfcroara.it;"2020-12-29 15:28:43";"2020-12-31 07:55:15"
5637;golf;"Golf del Ducato - percorso La Rocca";Ristorante;"Via Campi, 8";;"Sala Baganza";;Parma;"Destinazione Emilia";43038;44.70749;10.22665;https://www.parmagolf.it/it/la-rocca/circolo/;;larocca@parmagolf.it;"2020-12-29 15:28:43";"2020-12-31 07:55:15"
5638;golf;"Golf del Ducato - percorso Salsomaggiore Terme";Ristorante;"Case Carancini n.105/a";;Salsomaggiore;Contignaco;Parma;"Destinazione Emilia";43039;44.77897;9.941639;https://www.parmagolf.it/it/salsogolf/circolo/;;salso@parmagolf.it;"2020-12-29 15:28:43";"2020-12-29 15:28:43"
5639;golf;"Reggio Emilia Golf ";Ristorante;"Via G. Lorca, 5";;"Reggio Emilia";;"Reggio Emilia";"Destinazione Emilia";42100;44.66448;10.72477;http://www.reggioemiliagolf.com/;;info@reggioemiliagolf.com;"2020-12-29 15:28:43";"2020-12-29 15:28:43"
5640;golf;"Golf Club Matilde Di Canossa Asd";"Centro Congressi";"Via del Casinazzo, 1";;"Reggio Emilia";"S. Bartolomeo";"Reggio Emilia";"Destinazione Emilia";42123;44.67599;10.53188;http://www.golfmatildedicanossa.it/;;info@golfmatildedicanossa.it;"2020-12-29 15:28:43";"2020-12-29 15:28:43"
5641;golf;"San Valentino Golf Club ";"Piscina, Albergo, Ristorante (Hotel il Golfino)";"Via Telarolo 12";;Castellarano;;"Reggio Emilia";"Destinazione Emilia";42014;44.53236;10.68743;https://www.sanvalentinogolfclub.it/;;info@sanvalentino.it;"2020-12-29 15:28:43";"2020-12-31 07:55:15"
5642;golf;"Golf Club Santo Stefano ";"Piscina, Albergo, Ristorante (Tenuta Santo Stefano)";"Via Vettigano, 26 SP30";;"Campagnola Emilia";"Ponte Vettigano";"Reggio Emilia";"Destinazione Emilia";42012;44.83365;10.77434;http://www.golfsantostefano.com/;;gare@golfsantostefano.eu;"2020-12-29 15:28:43";"2020-12-31 07:55:15"
5643;golf;"Modena Golf & Country Club ";Ristorante;"via Castelnuovo Rangone, 4";;Formigine;"Colombaro di Formigine";Modena;"Destinazione Bologna e Modena";41050;44.5484;10.90392;http://www.modenagolf.it/;;segreteria@modenagolf.it;"2020-12-29 15:28:43";"2020-12-31 07:55:15"
5644;golf;"Monte Cimone Golf Club ";;"Via Statale per Fanano";;Sestola;Serraventata;Modena;"Destinazione Bologna e Modena";41029;44.22648;10.78344;http://www.montecimonegolfclub.com/;;info@montecimonegolfclub.com;"2020-12-29 15:28:43";"2020-12-31 07:55:15"
