id;code;name;info;location_address;location_number;location_city;location_localita;location_province;location_destination;location_cap;location_lat;location_lng;contacts_website;contacts_phone;contacts_email;created_at;updated_at
5699;terme;"Salsomaggiore Terme";;"Via Roma, 9";;"Salsomaggiore Terme ";;Parma;Emilia;43039;44.81645;9.980186;"www.termedisalsomaggiore.it www.termest.it";"0524 582611";info@termedisalsomaggiore.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5700;terme;"Terme di Tabiano";;"Viale alle Terme, 32";;"Salsomaggiore Terme ";;Parma;Emilia;43039;44.8027;10.01922;"www.termeditabiano.it - www.termest.it";"0524 564111";info@termeditabiano.com;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5701;terme;"Centro Termale “Il Baistrocchi”";;"Viale Matteotti, 31";;"Salsomaggiore Terme ";;Parma;Emilia;43039;44.819;9.982541;www.termebaistrocchi.it;"0524 574411";"info@termebaistrocchi.it / accettazione@termebaistrocchi.it";"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5702;terme;"Terme di Sant’Andrea";;"Via Cavicchiolo, 3";;Medesano;"Sant’Andrea Bagni ";Parma;Emilia;43048;44.72566;10.08908;www.termesantandrea.it;"0525 431233 / 430358";direzione@medicalthermae.com;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5703;terme;"Terme di Monticelli";;"Via Basse, 5,";;Montechiarugolo;"Monticelli Terme ";Parma;Emilia;43022;44.72865;10.39235;www.termedimonticelli.it;"0521 682711";info@termedimonticelli.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5704;terme;"Terme di Cervarezza";;"Via Santa Lucia, 4";;Ventasso;"Cervarezza Terme ";"Reggio Emilia";Emilia;42032;44.39796;10.31944;www.termedicervarezza.com;"0522 890322 / 366 4177979 / 335 7057114";holidaysas@libero.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5705;terme;"Terme della Salvarola";;"Via Salvarola, 131";;"Sassuolo ";"Salvarola Terme";Modena;"Bologna e Modena";41049;44.51805;10.76657;www.termesalvarola.it;"0536 987511";"info@termesalvarola.it / info@hoteltermesalvarola.it";"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5706;terme;"Terme Felsinee";;"Via di Vagno, 7";;"Bologna ";;Bologna;"Bologna e Modena";40133;44.4925;11.29313;www.maretermalebolognese.it;"051 6198484";termefelsinee@maretermalebolognese.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5707;terme;"Terme San Luca";;"Via Agucchi, 4/2 (angolo Via Emilia Ponente)";;"Bologna ";;Bologna;"Bologna e Modena";40133;44.50924;11.29471;www.maretermalebolognese.it;"051 382564";termesanluca@maretermalebolognese.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5708;terme;"Terme dell’Agriturismo";;"Via Sillaro, 27";;"Monterenzio ";;Bologna;"Bologna e Modena";40050;44.31214;11.45864;www.maretermalebolognese.it;"051 929791/ 929972";termedellagriturismo@maretermalebolognese.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
